Name;CurrentPrice;FullPrice;Shop;ShopAddr;Category;PreviewImg;FullImg;Url
Букет из белых роз 15 шт;2490.000000;2490.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzEzL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTguMTY4NTYwJTJCMDAlM0EwMC8zMDgzMjcxM18xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzEzL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTguMTY4NTYwJTJCMDAlM0EwMC8zMDgzMjcxM18xLmpwZw==.jpg;https://sbermarket.ru/products/30832713-buket-iz-belyh-roz-15-sht-d5da898
Букет из тюльпанов 15 шт;2390.000000;2390.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzI4L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMTMuNTc0MDc3JTJCMDAlM0EwMC8zMDgzMjcyOF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzI4L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMTMuNTc0MDc3JTJCMDAlM0EwMC8zMDgzMjcyOF8xLmpwZw==.jpg;https://sbermarket.ru/products/30832728-buket-iz-tyul-panov-15-sht-1e1c5d9
Букет из белый лисиантус 15 шт;5990.000000;5990.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzAyL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDUuNDc4ODU3JTJCMDAlM0EwMC8zMDgzMjcwMl8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzAyL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDUuNDc4ODU3JTJCMDAlM0EwMC8zMDgzMjcwMl8xLmpwZw==.jpg;https://sbermarket.ru/products/30832702-buket-iz-belyy-lisiantus-15-sht-195bd5f
Букет из белых роз 25 шт;3590.000000;3590.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzAwL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDMuMjM1MTYwJTJCMDAlM0EwMC8zMDgzMjcwMF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzAwL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDMuMjM1MTYwJTJCMDAlM0EwMC8zMDgzMjcwMF8xLmpwZw==.jpg;https://sbermarket.ru/products/30832700-buket-iz-belyh-roz-25-sht-a71db83
Букет микс из тюльпанов 51 шт;7190.000000;7190.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzExL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTUuODc0MDk3JTJCMDAlM0EwMC8zMDgzMjcxMV8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzExL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTUuODc0MDk3JTJCMDAlM0EwMC8zMDgzMjcxMV8xLmpwZw==.jpg;https://sbermarket.ru/products/30832711-buket-miks-iz-tyul-panov-51-sht-84fd130
Букет из белых роз 101 шт;13790.000000;13790.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNjk5L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDIuMTk0MTE0JTJCMDAlM0EwMC8zMDgzMjY5OV8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNjk5L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNDIuMTk0MTE0JTJCMDAlM0EwMC8zMDgzMjY5OV8xLmpwZw==.jpg;https://sbermarket.ru/products/30832699-buket-iz-belyh-roz-101-sht-5fb591e
Букет микс из тюльпанов 25 шт;3390.000000;3390.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzEwL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTQuNDM4NjQ4JTJCMDAlM0EwMC8zMDgzMjcxMF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzEwL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTQuNDM4NjQ4JTJCMDAlM0EwMC8zMDgzMjcxMF8xLmpwZw==.jpg;https://sbermarket.ru/products/30832710-buket-miks-iz-tyul-panov-25-sht-2920c0a
Букет из белый лисиантус 15 шт;5990.000000;5990.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzE0L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTkuMDE5MDI3JTJCMDAlM0EwMC8zMDgzMjcxNF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzE0L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQyJTNBNTkuMDE5MDI3JTJCMDAlM0EwMC8zMDgzMjcxNF8xLmpwZw==.jpg;https://sbermarket.ru/products/30832714-buket-iz-belyy-lisiantus-15-sht-14d599e
Букет микс мини из гвоздик 15 шт;1990.000000;1990.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzE4L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMDMuNDgzNzIxJTJCMDAlM0EwMC8zMDgzMjcxOF8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzE4L29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMDMuNDgzNzIxJTJCMDAlM0EwMC8zMDgzMjcxOF8xLmpwZw==.jpg;https://sbermarket.ru/products/30832718-buket-miks-mini-iz-gvozdik-15-sht-64db8d9
Букет из белых роз 51 шт;6990.000000;6990.000000;Цветы Голландии, Карла Маркса;Калининград, Карла Маркса, 98;Букеты цветов;https://imgproxy.sbermarket.ru/imgproxy/size-220-220/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzIyL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMDcuNTk2ODY5JTJCMDAlM0EwMC8zMDgzMjcyMl8xLmpwZw==.jpg;https://imgproxy.sbermarket.ru/imgproxy/size-1646-1646/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzMwODMyNzIyL29yaWdpbmFsLzEvMjAyNC0wMS0zMVQxMiUzQTQzJTNBMDcuNTk2ODY5JTJCMDAlM0EwMC8zMDgzMjcyMl8xLmpwZw==.jpg;https://sbermarket.ru/products/30832722-buket-iz-belyh-roz-51-sht-c3aeedd
